id,country,iso,admin_level_name,pcode,region,category,measure,targeted_pop_group,comments,non_compliance,date_implemented,source,source_type,link,entry_date,alternative_source
926,Albania,ALB,,,Europe,Public health measures,Strengthening the public health system,f,Train additional 3000 nurses and doctors to respond to COVID-19 and increased the number of medical personnel at all ports of entries,,2020-03-19,"Albania Ministry of Health ""MSHMS""",Government,https://shendetesia.gov.al/31380-2/,2020-03-20,https://al.usembassy.gov/updates_covid19/
931,Albania,ALB,,,Europe,Public health measures,Strengthening the public health system,f,Create safe sanitary areas for non COVID-19 patients to be treated and Emergency/surgical interventions transferred to the University Trauma Hospital,,2020-03-20,"Albania Ministry of Health ""MSHMS""",Government,https://shendetesia.gov.al/31380-2/,2020-03-20,
932,Albania,ALB,,,Europe,Movement restrictions,Border closure,t,"Land borders: Montenegro (March 16, 2020), Kosovo (March 14, 2020) ""except citizens of Kosovo and Albania"" and Macedonia (March 16, 2020)// ALL Borders: Greece (10p.m March 15, 2020)""except commercial trade""",,2020-03-14,US Embassy of Albania,Government,https://al.usembassy.gov/u-s-citizen-services/additional-resources/covid-19-information/,2020-03-20,
1938,Albania,ALB,,,Europe,Governance and socio-economic measures,Emergency administrative structures activated or established,t,"emergency law ""normative act"" that can be approved by the government with immediate effect without the need for the prior approval of parliament which automatically executable fines for issues of non-complience",Fines,2020-03-22,BalkaninSight,Media,https://balkaninsight.com/2020/03/16/albania-mounts-millionaire-fines-against-covid-19/,2020-03-24,
1939,Albania,ALB,,,Europe,Movement restrictions,International flights suspension,t,All flights to and from Tirana airport will be suspended ** except Air Albania’s flights to and from Istanbul for humanitarian reasons.,,2020-03-23,International SOS,Other organisations,https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS,2020-03-24,
1940,Albania,ALB,,,Europe,Movement restrictions,Border closure,t,No ferries to and from Italy until april 3,,2020-03-23,International SOS,Other organisations,https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS,2020-03-24,
2001,Albania,ALB,,,Europe,Social distancing,Limit public gatherings,t,"1. Social, cultural or political gatherings, either in enclosed or open-air spaces, are banned and fined: 5 million lek (40,000 euros). 2. Television stations are banned from having more than two people on their talk shows in the same room and will be fined 1 million leks (8,300 euros) for any violations. 3. fines and three-year bans for car drivers if they breach restrictions on movement.",Fines,2020-03-22,BalkaninSight,Media,https://balkaninsight.com/2020/03/16/albania-mounts-millionaire-fines-against-covid-19/,2020-03-24,
2002,Albania,ALB,,,Europe,Governance and socio-economic measures,Economic measures,t,"Traders in food and medicines for unacceptable price rises and up to 10 million leks (83,000 euros) fines, if do not respect safety rules designed to combat infections",Fines,2020-03-22,BalkaninSight,Media,https://balkaninsight.com/2020/03/16/albania-mounts-millionaire-fines-against-covid-19/,2020-03-24,
2003,Albania,ALB,,,Europe,Public health measures,Strengthening the public health system,t,"Private hospitals that refuse to offer their capacities when required can be fined by up to 5 million leks (40,000 euros).",Fines,2020-03-22,BalkaninSight,Media,https://balkaninsight.com/2020/03/16/albania-mounts-millionaire-fines-against-covid-19/,2020-03-24,
2004,Albania,ALB,,,Europe,Public health measures,General recommendations,t,"The highest fines, up to 10 million leks (83,000 euros), can be imposed on entities that trade in food or medicine without respecting safety rules designed to combat infections.",Fines,2020-03-22,BalkaninSight,Media,https://balkaninsight.com/2020/03/16/albania-mounts-millionaire-fines-against-covid-19/,2020-03-24,
3740,Albania,ALB,,,Europe,Lockdown,Partial lockdown,f,"All restricitive measures (curfew, public service close, limit gatherings etc.) are now indefiitnely suspended until further notice",Not applicable,2020-04-02,Intenational SOS,Other organisations,https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS,2020-04-03,
3741,Albania,ALB,,,Europe,Movement restrictions,Curfews,f,"16-hour curfew. Individuals are only allowed to leave their homes from 05:00 to 13:00. All movement is prohibited outside of those windows, including both vehicular traffic and pedestrian movement. Exceptions are made for healthcare workers and for the transport of food items, supplies and medicine. Grocery stores and banks are only permitted to open from 05:00 to 13:00.",Not available,2020-03-23,Intenational SOS,Other organisations,https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS,2020-04-03,
3742,Albania,ALB,,,Europe,Movement restrictions,Domestic travel restrictions,t,"Private car traffic and interurban transport will be banned across eight cities: Durres, Elbasan, Fier, Lezha, Lushnje, Shkodra, Tirana and Vlor between 13 March 06.00 and 16 March 00.00. Roads connecting Tirana and Durres to other parts of the country will also be closed during this timeframe and public transportation closed between/within the two cities.",Not available,2020-03-23,Intenational SOS,Other organisations,https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS,2020-04-03,
36,Algeria,DZA,,,Africa,Public health measures,Awareness campaigns,f,,Not applicable,2020-03-05,xinhuanet,Media,http://www.xinhuanet.com/english/2020-03/05/c_138844004.htm,2020-03-14,
37,Algeria,DZA,,,Africa,Social distancing,Schools closure,f,until 5th April,Not applicable,2020-03-12,US Embassy,Government,https://dz.usembassy.gov/covid-19-information/,2020-03-14,
39,Algeria,DZA,,,Africa,Movement restrictions,Border checks,t,Entry denied to people with symptoms,Not applicable,2020-03-12,US Embassy,Government,https://dz.usembassy.gov/covid-19-information/,2020-03-14,
40,Algeria,DZA,,,Africa,Social distancing,Limit public gatherings,f,,Not applicable,2020-03-12,qantara 13/03/2020,Media,https://en.qantara.de/content/coronavirus-in-the-islamic-world-the-challenges-of-covid-19,2020-03-14,
961,Algeria,DZA,,,Africa,Social distancing,Public services closure,f,"Banned all types of gatherings (including all houses of worhsip) until April 5, 2020",,2020-03-20,US embassy of Algeria,Government,https://dz.usembassy.gov/covid-19-information/,2020-03-20,
962,Algeria,DZA,,,Africa,Movement restrictions,Border closure,f,All land borders.,,2020-03-17,US embassy of Algeria,Government,https://dz.usembassy.gov/covid-19-information/,2020-03-20,
963,Algeria,DZA,,,Africa,Movement restrictions,International flights suspension,f,"Suspension of all non-cargo international air and maritime travel. Suspension of all International commercial flights (March 20, 2020) Domestic flight suspension (March 22nd, 2020).",,2020-03-20,US embassy of Algeria,Government,https://dz.usembassy.gov/covid-19-information/,2020-03-20,
964,Algeria,DZA,,,Africa,Public health measures,Awareness campaigns,f,Programs to disinfect mass transit and public areas,,2020-03-20,US embassy of Algeria,Government,https://dz.usembassy.gov/covid-19-information/,2020-03-20,
978,Algeria,DZA,,,Africa,Public health measures,Introduction of quarantine policies,t,Quarantining known confirmed COVID-19 cases within its borders,,2020-03-18,US Embassy of Algeria,Government,https://dz.usembassy.gov/covid-19-information/,2020-03-20,
1980,Algeria,DZA,,,Africa,Movement restrictions,Border closure,t,All neighboring land countries,,2020-03-17,US Embassy Algeria,Government,https://dz.usembassy.gov/covid-19-information/,2020-03-24,
1981,Algeria,DZA,,,Africa,Movement restrictions,Domestic travel restrictions,t,all domestic flights,,2020-03-22,US Embassy Algeria,Government,https://dz.usembassy.gov/covid-19-information/,2020-03-24,
1982,Algeria,DZA,,,Africa,Lockdown,Partial lockdown,t,Bilda (complete confinement - all movement in and out is prohibited) and Algiers,,2020-03-23,Gardaworld,Other organisations,https://www.garda.com/crisis24/news-alerts/325896/algeria-government-implements-lockdown-and-curfew-in-blida-and-algiers-march-23-update-7,2020-03-24,
1983,Algeria,DZA,,,Africa,Movement restrictions,Curfews,t,Bilda and Algiers from 7 pm to 7 am.,,2020-03-23,Gardaworld,Other organisations,https://www.garda.com/crisis24/news-alerts/325896/algeria-government-implements-lockdown-and-curfew-in-blida-and-algiers-march-23-update-7,2020-03-24,
2427,Algeria,DZA,,,Africa,Movement restrictions,Domestic travel restrictions,f,All taxis banned countrywide. Rail and public or private/public transport between wilayas has been suspended as well as public transport within urban centers.,Not available,2020-03-23,International SOS,Other organisations,https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS,2020-03-26,
3743,Algeria,DZA,,,Africa,Governance and socio-economic measures,Military deployment,t,Government implements lockdown and curfew in Blida and Algiers,Not available,2020-03-23,Gardaworld,Other organisations,https://www.garda.com/crisis24/news-alerts/325896/algeria-government-implements-lockdown-and-curfew-in-blida-and-algiers-march-23-update-7,2020-04-03,
3744,Algeria,DZA,,,Africa,Movement restrictions,Curfews,t,"expanded to include provences: Algiers, Batna, Tizi Ouzou, Setif, Tipaza, Constantine, Medea Oran, El Oued, Boumerdes, Bejaia, Ain Defla, Mostaganem and Bordj Bou Arreridj from 7 pm to 7 am.",Not available,2020-03-27,International SOS,Other organisations,https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS,2020-04-03,https://dz.usembassy.gov/covid-19-information/
3745,Algeria,DZA,,,Africa,Movement restrictions,International flights suspension,f,Extension on internal travel restrictions announced on 1 April will last from 22 March until 19 April,Not applicable,2020-04-01,International SOS,Other organisations,https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS,2020-04-03,
3746,Algeria,DZA,,,Africa,Movement restrictions,Domestic travel restrictions,f,"Suspension of domestic flights, rail links and other types of public transport. All taxis banned countrywide. Rail and public or private/public transport between wilayas has been suspended as well as public transport within urban centres.",Not applicable,2020-04-01,International SOS,Other organisations,https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS,2020-04-03,
41,Angola,AGO,,,Africa,Public health measures,Health screenings in airports and border crossings,t,"China, South Korea, Iran, and Italy",Not applicable,2020-03-03,US Embassy,Government,https://ao.usembassy.gov/covid-19-information/,2020-03-14,
42,Angola,AGO,,,Africa,Public health measures,Introduction of quarantine policies,t,any nationality who presents with symptoms or who has traveled to China since the start of the outbreak,Refusal to enter the country,2020-03-03,US Embassy,Government,https://ao.usembassy.gov/covid-19-information/,2020-03-14,
48,Angola,AGO,,,Africa,Public health measures,Awareness campaigns,f,"The National Molecular Biology Laboratory, installed in Luanda, more than three years ago, was authorized by the World Health Organization (WHO) to carry out tests on the new Coronavirus (Covid-19)",Not applicable,2020-03-11,All Africa,Media,https://allafrica.com/stories/202003100459.html,2020-03-14,
1070,Angola,AGO,,,Africa,Movement restrictions,International flights suspension,f,"All international flights to and from Angola will be suspended as of Friday, March 20",,2020-03-20,GardaWorld,Other organisations,https://www.garda.com/crisis24/news-alerts/324512/angola-authorities-suspend-international-flights-as-of-march-20-update-3,2020-03-21,
1071,Angola,AGO,,,Africa,Movement restrictions,Visa restrictions,t,"individuals who have transited through China, Hong Kong, Macao, South Korea, Iran, and Italy, will be prohibited from entering the country due to the ongoing coronavirus (COVID-19) outbreak.",,2020-03-04,GardaWorld,Other organisations,https://www.garda.com/crisis24/news-alerts/324512/angola-authorities-suspend-international-flights-as-of-march-20-update-4,2020-03-21,
1072,Angola,AGO,,,Africa,Movement restrictions,Visa restrictions,t,"Authorities are temporarily banning citizens of China, South Korea, Italy, Iran, Nigeria, Egypt, and Algeria from entering Angola who have travelled directly from those countries; the restriction does not apply to those traveling via a third country.",,2020-03-01,GardaWorld,Other organisations,https://www.garda.com/crisis24/news-alerts/324512/angola-authorities-suspend-international-flights-as-of-march-20-update-5,2020-03-21,
1073,Angola,AGO,,,Africa,Public health measures,Introduction of quarantine policies,t,the Angolan Ministry of Health announced that all travelers arriving from China will be placed under home quarantine,,2020-02-06,GardaWorld,Other organisations,https://www.garda.com/crisis24/news-alerts/324512/angola-authorities-suspend-international-flights-as-of-march-20-update-6,2020-03-21,
1984,Angola,AGO,,,Africa,Movement restrictions,International flights suspension,t,"On Tuesday, March 17, government officials announced that all international flights to and from Angola will be suspended as of Friday, March 20",Not applicable,2020-03-20,GardaWorld,Other organisations,https://www.garda.com/crisis24/news-alerts/324512/angola-authorities-suspend-international-flights-as-of-march-20-update-3,2020-03-24,
1985,Angola,AGO,,,Africa,Social distancing,Schools closure,t,"Public and private higher and general education institutions in Angola are since March 23 shut for a period of 15 days,which may be extended in view of the pandemic situation in the country.",Not applicable,2020-03-23,All Africa,Media,https://allafrica.com/stories/202003240713.html,2020-03-24,
1986,Angola,AGO,,,Africa,Public health measures,General recommendations,t,"The Minister of Health, Sílvia Lutucuta, advised employers to allow their domestic workers to stay indoors as a way to prevent the spread of Covid-19 among Angolans.",Not applicable,2020-03-22,ANGOP,Media,"http://www.angop.ao/angola/en_us/noticias/saude/2020/2/12/COVID-National-Overview,00adfc6e-c90b-4dac-8485-23ab8f05015f.html",2020-03-24,
1987,Angola,AGO,Namibe,,Africa,Public health measures,Awareness campaigns,f,"The Provincial Youth Council in Namibe carried out an intense public awareness campaign on methods of disease prevention, during which, young associates distributed pamphlets with statements about the pandemic and ways of prevention.",Not applicable,2020-03-22,All Africa,Media,"http://www.angop.ao/angola/en_us/noticias/saude/2020/2/12/COVID-National-Overview,00adfc6e-c90b-4dac-8485-23ab8f05015f.html",2020-03-24,
1988,Angola,AGO,Luena City,,Africa,Public health measures,Awareness campaigns,f,"The sale of dried game meat, on the informal market in Luena city, has been banned since Saturday, the 21st, as part of the implementation of measures to prevent infection by the new coronavirus (Covid - 19).",Not applicable,2020-03-22,ANGOP,Media,"http://www.angop.ao/angola/en_us/noticias/saude/2020/2/12/COVID-National-Overview,00adfc6e-c90b-4dac-8485-23ab8f05015f.html",2020-03-24,
2767,Angola,AGO,,,Africa,Governance and socio-economic measures,State of emergency declared,f,15 day state of national emergency ordered by the President of the Republic from 27 Mar -,Not available,2020-03-27,ANGOP,Media,"http://www.angop.ao/angola/en_us/noticias/politica/2020/2/13/Covid-Angola-declares-State-Emergency-from-March,c63029de-b7e8-4e3c-beae-c45f5285c9ff.html",2020-03-27,
2768,Angola,AGO,,,Africa,Governance and socio-economic measures,State of emergency declared,f,"The State of Emergency, which has entered in force in Angola since March 27, for a period of 15 days, exempts the free movement of citizens seeking to buy food and provide essential services to the population.",Not available,2020-03-27,ANGOP,Media,"http://www.angop.ao/angola/en_us/noticias/politica/2020/2/13/Government-bans-people-from-remaining-streets,d6ac26dd-6238-4a09-be05-1219e353a4cb.html",2020-03-27,"http://www.angop.ao/angola/en_us/noticias/politica/2020/2/13/State-Emergency-makes-exemptions-for-acquisition-essential-goods,c40e205b-1198-40ba-b846-6e11593d4720.html"
2769,Angola,AGO,,,Africa,Public health measures,Strengthening the public health system,t,"The Angolan Government will prioritize the regular and free supply of water to health units, informal markets, quarantine centers and prisoners, within the framework of the contingency plan to prevent the spreading of the Coronavirus (Covid-19) pandemic in the country.",Not applicable,2020-03-27,ANGOP,Media,"http://www.angop.ao/angola/en_us/noticias/politica/2020/2/13/Health-units-have-free-water-supply,8578a332-1d86-4292-8e12-b8b7dd1abcbc.html",2020-03-27,
2770,Angola,AGO,,,Africa,Public health measures,Strengthening the public health system,f,"The health authorities of Cuanza Norte announced, Thursday, in Ndalatando, the opening of two centers for the screening and quarantine of suspected cases in Covid-19.",Not applicable,2020-03-27,ANGOP,Media,"http://www.angop.ao/angola/en_us/noticias/saude/2020/2/13/COVID-Quarantine-center-created-for-suspected-cases,5f726e81-cb2b-4bda-ac25-07c7ccbcfbb7.html",2020-03-27,
2771,Angola,AGO,Namibe,,Africa,Movement restrictions,Border checks,t,"The government of the province of Namibe will, in the coming days, acquire transport means for the National Police staff deployed on the border areas (on the border with the Republic of Namibia), to improve the patrolling and people monitoring system.",Not applicable,2020-03-27,ANGOP,Media,"http://www.angop.ao/angola/en_us/noticias/saude/2020/2/13/Covid-Transport-means-step-police-activity,b9042693-40fa-4eed-b131-e59438c6a662.html",2020-03-27,
2772,Angola,AGO,,,Africa,Governance and socio-economic measures,Economic measures,t,"Central Bank defines rules for financial institutions operation. The National Bank of Angola (BNA) on Friday, instructed financial institutions to secure normal services supply, such as deposit of money, cash withdrawal and domestic and international transfers as well as the issuance of the customers' account statements.",Not applicable,2020-03-27,ANGOP,Media,"http://www.angop.ao/angola/en_us/noticias/economia/2020/2/13/Central-Bank-defines-rules-for-financial-institutions-operation,23d8fc64-7252-4b03-af14-878d786cc22d.html",2020-03-27,
2773,Angola,AGO,,,Africa,Governance and socio-economic measures,Economic measures,t,Program for Strengthening the Social Protection was approved by the Economic Commission of the Council of Ministers,,2020-03-26,ANGOP,Media,"http://www.angop.ao/angola/en_us/noticias/economia/2020/2/13/Economic-Commission-approves-social-protection-strengthening,4bac2897-d9f5-4c16-bd39-39ed9e6bad95.html",2020-03-27,
2774,Angola,AGO,Lubango,,Africa,Public health measures,Strengthening the public health system,t,"Central hospital installs new ventilators. The Antonio Agostinho Neto Central Hospital of Lubango, in Huíla province, was reinforced, on Thursday, with two ventilating devices for intensive care beds, in an effort to fight the COVID-19 pandemic, which affects the country.",Not applicable,2020-03-26,ANGOP,Media,"http://www.angop.ao/angola/en_us/noticias/saude/2020/2/13/COVID-Central-hospital-installs-new-ventilators,a610eca7-2081-4e06-b695-89bc77f01a70.html",2020-03-27,
2775,Angola,AGO,,,Africa,Public health measures,Strengthening the public health system,t,Multi-Sector Brigade Seizes Expired Medicines,Not applicable,2020-03-26,All Africa,Media,https://allafrica.com/stories/202003260783.html,2020-03-27,
2776,Angola,AGO,,,Africa,Governance and socio-economic measures,Economic measures,t,"World Bank has made available USD 15 million to support the Angolan Government's efforts to combat the new coronavirus (COVID-19), said on Thursday, the World Bank (WB) resident representative, Oliver Lambert.",Not applicable,2020-03-26,ANGOP,Media,"http://www.angop.ao/angola/en_us/noticias/economia/2020/2/13/COVID-World-Bank-grants-USD-million,e61d0e55-3488-43ec-b443-73f625dc73eb.html",2020-03-27,
2777,Angola,AGO,,,Africa,Social distancing,Public services closure,t,"the country's formal and informal public markets are only open from six to 13:00 hours a day, taking into account the State of Emergency declared. During this period, traders will be able to sell only essential products, namely food, hygiene products, cooking gas, among others, according to the Minister of Territorial Administration and State Reform, Adão de Almeida.",Not available,2020-03-27,ANGOP,Media,"http://www.angop.ao/angola/en_us/noticias/politica/2020/2/13/State-Emergency-limits-public-markets-opening-hours,99bdabff-df01-499f-8d23-017de43737ef.html",2020-03-27,
2778,Angola,AGO,,,Africa,Governance and socio-economic measures,Limit product imports/exports,f,"any staple products, fuel, medicine, equipment and expendable material for medical use are prohibited from leaving the national territory.",Not available,2020-03-27,ANGOP,Media,"http://www.angop.ao/angola/en_us/noticias/politica/2020/2/13/State-Emergency-limits-public-markets-opening-hours,99bdabff-df01-499f-8d23-017de43737ef.html",2020-03-27,
2779,Angola,AGO,,,Africa,Movement restrictions,Domestic travel restrictions,f,"The order also defines a provincial health fence, which prohibits entry and exit between the different provinces, and inter-provincial circulation is prohibited, exceptionally the entry and exit of essential good and sick people, as well as humanitarian aid.",Not available,2020-03-27,ANGOP,Media,"http://www.angop.ao/angola/en_us/noticias/politica/2020/2/13/State-Emergency-limits-public-markets-opening-hours,99bdabff-df01-499f-8d23-017de43737ef.html",2020-03-27,
2780,Angola,AGO,,,Africa,Lockdown,Lockdown of refugee/idp camps or other minorities,t,"The process of organized and voluntary repatriation of Congolese refugees back to DRC, which began in October 2019, is suspended due to the spread of the Coronavirus (Covid-19) in this neighbouring country.",,2020-03-26,All Africa,Media,https://allafrica.com/stories/202003270159.html,2020-03-27,
3407,Angola,AGO,,,Africa,Public health measures,Awareness campaigns,f,the Inter-ministerial Commission for the prevention and combat of the pandemic will open bank accounts for collecting donations for individual and collective assistance in a campaign called 'Juntos por Angola',Not applicable,2020-03-28,ANGOP,Media,"http://www.angop.ao/angola/en_us/noticias/sociedade/2020/2/13/Minister-announces-solidarity-campaign,d647d45d-4688-4ef2-ba8e-db8c202fc55a.html",2020-01-04,
3408,Angola,AGO,Luanda,,Africa,Public health measures,Strengthening the public health system,f,Tanker trucks to assure water supply in Luanda. The official also informed that the emergency plan for free water distribution will cover the other provinces of the country.,Not applicable,2020-03-28,ANGOP,Media,"http://www.angop.ao/angola/en_us/noticias/sociedade/2020/2/13/Tanker-trucks-assure-water-supply-Luanda,0c7101f0-4208-47be-8acf-97da41d36741.html",2020-01-04,
3409,Angola,AGO,,,Africa,Public health measures,Strengthening the public health system,t,The Health minister said that as from Sunday (29th) gained the capacity to effect 50 to 100 Covid-19 tests a day.,,2020-03-29,ANGOP,Media,"http://www.angop.ao/angola/en_us/noticias/saude/2020/2/13/Covid-Angola-increaes-testing-capacity,69fb8d86-1adb-4362-bb4b-6bfad0b4b80b.html",2020-01-04,
3410,Angola,AGO,Cuito,,Africa,Public health measures,Strengthening the public health system,t,"The municipality of Cuito, capital of the province of Bié, will have this week a Treatment Center for patients infected with COVID-19, with a capacity for 30 beds, located in the Cavanga II district.",Not applicable,2020-03-30,ANGOP,Media,"http://www.angop.ao/angola/en_us/noticias/saude/2020/2/14/Covid-Cuito-unveils-treatment-center,f0d71f17-d47e-429d-9e13-d84aab4163c4.html",2020-01-04,
3413,Angola,AGO,,,Africa,Public health measures,Strengthening the public health system,t,"The medical goods for the prevention and treatment of COVID-19, in the country, are subject to the regulated price regime, says the press release from last Friday Council of Ministers Session.",Not available,2020-03-27,ANGOP,Media,"http://www.angop.ao/angola/en_us/noticias/saude/2020/2/14/Authorities-watch-over-COVID-medicine-prices,ee491bc9-ecfd-414a-a209-3a8e7332d8c4.html",2020-04-01,https://www.libyaobserver.ly/inbrief/ministry-interior-we-will-punish-curfew-violators
3468,Angola,AGO,Cuanza Sul province,,Africa,Public health measures,Strengthening the public health system,t,The Health Ministry has allocated 72 million kwanzas to assist the central Cuanza Sul province to purchase bio-security materials and training of staff for the prevention of the COVID-19 in that region.,Not applicable,2020-03-30,ANGOP,Media,"http://www.angop.ao/angola/en_us/noticias/saude/2020/2/14/COVID-Health-Ministry-allocates-AKZ-million-Cuanza-Sul,31de4222-7469-40b9-aee6-7c5f26bf2eb8.html",2020-04-01,
3469,Angola,AGO,,,Africa,Public health measures,Strengthening the public health system,t,"The management of Hotel IU made available to the Government of the province of Huambo, a total of 60 rooms as a place of institutional quarantine, for suspected cases of the Covid-19 (new Coronavirus) pandemic.",Not applicable,2020-03-30,ANGOP,Media,"http://www.angop.ao/angola/en_us/noticias/saude/2020/2/14/Covid-Hotel-provides-rooms-for-institutional-quarantine,b27a49c3-8616-4d3a-bff3-ec99d0fedebd.html",2020-04-01,
4117,Angola,AGO,,,Africa,Public health measures,Awareness campaigns,f,President tells people to stay home,Arrest/Detention,2020-04-01,ANGOP,Media,"http://www.angop.ao/angola/en_us/noticias/politica/2020/3/14/Covid-President-tells-people-stay-home,e42fa125-9e0f-4009-9f5e-d9f66bbecbcf.html",2020-04-07,
4118,Angola,AGO,Namibe,,Africa,Public health measures,Strengthening the public health system,t,Three hotels are available to deal with possible cases of coronairus in the province of Namibe,Not applicable,2020-04-01,ANGOP,Media,"http://www.angop.ao/angola/en_us/noticias/saude/2020/3/14/Covid-Namibe-avails-three-hotels-for-quarantine,702a69cc-07e5-4aa6-bd4a-8368f5b0ec64.html",2020-04-07,
